timestamp,sensor_id,temp_c,humidity_pct,roll_mean_temp,roll_std_temp,roll_min_temp,roll_max_temp,is_anomaly,alert_reason
17:27:20,SENSOR_COLD_01,5.1,45.29,5.1,0.0,5.1,5.1,False,NORMAL
17:27:20,SENSOR_COLD_01,5.38,45.56,4.933,0.408,4.58,5.38,False,NORMAL
17:27:21,SENSOR_COLD_01,4.27,43.73,4.47,0.283,4.27,4.67,False,NORMAL
17:27:22,SENSOR_COLD_01,4.53,45.12,4.833,0.389,4.53,5.38,False,NORMAL
17:27:22,SENSOR_COLD_01,4.3,44.49,4.7,0.566,4.3,5.1,False,NORMAL
17:27:23,SENSOR_COLD_01,4.2,45.03,4.706,0.44,4.2,5.38,False,NORMAL
17:27:23,SENSOR_COLD_01,4.08,44.62,4.493,0.537,4.08,5.1,False,NORMAL
17:27:24,SENSOR_COLD_01,5.62,45.65,4.858,0.542,4.2,5.62,False,NORMAL
17:27:24,SENSOR_COLD_01,4.06,45.6,4.333,0.31,4.06,4.67,False,NORMAL
17:27:24,SENSOR_COLD_01,4.31,46.28,4.447,0.448,4.08,5.1,False,NORMAL
17:27:25,SENSOR_COLD_01,4.43,45.61,4.797,0.521,4.2,5.62,False,NORMAL
17:27:25,SENSOR_COLD_01,4.21,44.34,4.4,0.402,4.08,5.1,False,NORMAL
17:27:26,SENSOR_COLD_01,4.63,45.29,4.776,0.486,4.2,5.62,False,NORMAL
17:27:26,SENSOR_COLD_01,4.53,45.23,4.422,0.364,4.08,5.1,False,NORMAL
17:27:27,SENSOR_COLD_01,4.42,43.52,4.737,0.47,4.2,5.62,False,NORMAL
17:27:27,SENSOR_COLD_01,4.42,45.62,4.355,0.257,4.06,4.67,False,NORMAL
17:27:27,SENSOR_COLD_01,4.3,44.97,4.404,0.335,4.08,5.1,False,NORMAL
